調查項目,調查地區,單位,"114.8價格(A)","109.03價格(C)","半年漲跌(基準109.02)((A-C)/A)","108.09價格(D)","一年漲跌(基準108.08)((A-D)/A)","107.09價格(E)","兩年漲跌(基準107.08((A-E)/A)"
"產品，粒料、細粒料(粗砂，拌合用)，砂石廠交貨",北,元/M3,,690,,690,,650,
"產品，粒料、細粒料(粗砂，拌合用)，砂石廠交貨",中,元/M3,,630,,630,,630,
"產品，粒料、細粒料(粗砂，拌合用)，砂石廠交貨",南,元/M3,,560,,560,,550,
"產品，粒料、細粒料(粗砂，拌合用)，砂石廠交貨",花,元/M3,,410,,410,,410,
"產品，粒料、細粒料(粗砂，拌合用)，砂石廠交貨",東,元/M3,,430,,430,,430,
"產品，粒料、粗粒料，25~4.75mm，砂石廠交貨",北,元/M3,,670,,670,,630,
"產品，粒料、粗粒料，25~4.75mm，砂石廠交貨",中,元/M3,,540,,540,,540,
"產品，粒料、粗粒料，25~4.75mm，砂石廠交貨",南,元/M3,,550,,550,,540,
"產品，粒料、粗粒料，25~4.75mm，砂石廠交貨",花,元/M3,,400,,400,,400,
"產品，粒料、粗粒料，25~4.75mm，砂石廠交貨",東,元/M3,,410,,410,,410,
"產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨 ",北,元/M3,"3,046","2,560",16.0,"2,280",25.2,"2,120",30.4
"產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨 ",中,元/M3,"2,646","2,240",15.3,"2,020",23.7,"2,000",24.4
"產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨 ",南,元/M3,"2,590","2,070",20.1,"1,980",23.6,"1,950",24.7
"產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨 ",花,元/M3,"2,519","1,930",23.4,"1,930",23.4,"1,930",23.4
"產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨 ",東,元/M3,"2,281","1,790",21.5,"1,790",21.5,"1,790",21.5
"產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ",北,元/M3,"3,242","2,760",14.9,"2,480",23.5,"2,320",28.4
"產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ",中,元/M3,"2,827","2,440",13.7,"2,220",21.5,"2,200",22.2
"產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ",南,元/M3,"2,785","2,270",18.5,"2,180",21.7,"2,150",22.8
"產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ",花,元/M3,"2,719","2,130",21.7,"2,130",21.7,"2,130",21.7
"產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ",東,元/M3,"2,506","1,990",20.6,"1,990",20.6,"1,990",20.6
"粗級配瀝青混凝土(粗粒料粒徑25mm)",北,元/T,"3,477","2,890",16.9,"2,890",16.9,"2,810",19.2
"粗級配瀝青混凝土(粗粒料粒徑25mm)",中,元/T,"3,269","2,480",24.1,"2,480",24.1,"2,430",25.7
"粗級配瀝青混凝土(粗粒料粒徑25mm)",南,元/T,"2,714","2,410",11.2,"2,410",11.2,"2,350",13.4
"粗級配瀝青混凝土(粗粒料粒徑25mm)",花,元/T,"3,275","2,580",21.2,"2,580",21.2,"2,570",21.5
"粗級配瀝青混凝土(粗粒料粒徑25mm)",東,元/T,,"2,280",-,"2,280",-,"2,250",-
"產品，再生瀝青混凝土鋪面，(密級配，30回收料)，粗粒料25mm，黏度AC-10，拌合廠交貨",北,元/T,,,#DIV/0!,,#DIV/0!,"2,120",#DIV/0!
"產品，再生瀝青混凝土鋪面，(密級配，30回收料)，粗粒料25mm，黏度AC-10，拌合廠交貨",中,元/T,,,#DIV/0!,,#DIV/0!,"2,130",#DIV/0!
"產品，再生瀝青混凝土鋪面，(密級配，30回收料)，粗粒料25mm，黏度AC-10，拌合廠交貨",南,元/T,,,#DIV/0!,,#DIV/0!,"1,970",#DIV/0!
"產品，再生瀝青混凝土鋪面，(密級配，30回收料)，粗粒料25mm，黏度AC-10，拌合廠交貨",花,元/T,,,#DIV/0!,,#DIV/0!,"2,360",#DIV/0!
"產品，再生瀝青混凝土鋪面，(密級配，30回收料)，粗粒料25mm，黏度AC-10，拌合廠交貨",東,元/T,,,#DIV/0!,,#DIV/0!,"2,190",#DIV/0!
"密級配瀝青混凝土(粗粒料粒徑19mm)",北,元/T,"3,513",,,,,,
"密級配瀝青混凝土(粗粒料粒徑19mm)",中,元/T,"3,347",,,,,,
"密級配瀝青混凝土(粗粒料粒徑19mm)",南,元/T,"2,706",,,,,,
"密級配瀝青混凝土(粗粒料粒徑19mm)",花,元/T,"3,375",,,,,,
"密級配瀝青混凝土(粗粒料粒徑19mm)",東,元/T,,,,,,,
"產品，鋼筋，SD280，熱軋，D10mm，工地交貨",北,元/T,"17,550","15,900",9.4,"17,000",3.1,"19,800",-12.8
"產品，鋼筋，SD280，熱軋，D10mm，工地交貨",中,元/T,"17,400","15,900",8.6,"17,000",2.3,"19,800",-13.8
"產品，鋼筋，SD280，熱軋，D10mm，工地交貨",南,元/T,"16,933","15,900",6.1,"17,000",-0.4,"19,800",-16.9
"產品，鋼筋，SD420w，熱軋，D36mm，工地交貨",北,元/T,"18,700","17,300",7.5,"18,400",1.6,"21,200",-13.4
"產品，鋼筋，SD420w，熱軋，D36mm，工地交貨",中,元/T,"18,600","17,300",7.0,"18,400",1.1,"21,200",-14.0
"產品，鋼筋，SD420w，熱軋，D36mm，工地交貨",南,元/T,"18,067","17,300",4.2,"18,400",-1.8,"21,200",-17.3
"產品，結構用鋼材，熱軋型鋼，H型鋼，(H400×B400，t1=13mm，t2=21mm)",北,元/T,"27,200","26,100",4.0,"25,700",5.5,"25,800",5.1
"產品，結構用鋼材，熱軋型鋼，H型鋼，(H400×B400，t1=13mm，t2=21mm)",中,元/T,"26,050","26,100",-0.2,"25,700",1.3,"25,800",1.0
"產品，結構用鋼材，熱軋型鋼，H型鋼，(H400×B400，t1=13mm，t2=21mm)",南,元/T,"26,150","26,100",0.2,"25,700",1.7,"25,800",1.3
"產品，結構用鋼材，一般結構用軋鋼料，A36，25mm＜T≦38mm",,元/T,"26,533","20,900",21.2,"22,150",16.5,"23,500",11.4